ReviewID	SentenceID	Text	Tokens
1660	1660_2	There was a very loud ""glug"" sound in the sink that would occur way after you turned off the water.	["There","was","a","very","loud","''","``","glug","''","''","sound","in","the","sink","that","would","occur","way","after","you","turned","off","the","water","."]
1660	1660_3	I like the restaurants in the venetian but several of the restaurants that appeared to be operating and open on their website were closed.	["I","like","the","restaurants","in","the","venetian","but","several","of","the","restaurants","that","appeared","to","be","operating","and","open","on","their","website","were","closed","."]
1660	1660_4	Two of them in particular had all the lights on and looked set up but no one was ever in them, even at different times of the day.	["Two","of","them","in","particular","had","all","the","lights","on","and","looked","set","up","but","no","one","was","ever","in","them",",","even","at","different","times","of","the","day","."]
1660	1660_5	There were two other conferences going on and it never seemed too out of control crowded.	["There","were","two","other","conferences","going","on","and","it","never","seemed","too","out","of","control","crowded","."]
1660	1660_6	I think what I miss (from being in Texas) is the availability of fruit.	["I","think","what","I","miss","(","from","being","in","Texas",")","is","the","availability","of","fruit","."]
1660	1660_7	It is always the hardest thing to find - but maybe I am missing something.	["It","is","always","the","hardest","thing","to","find","-","but","maybe","I","am","missing","something","."]
1660	1660_8	Overall, it was fine.	["Overall",",","it","was","fine","."]
1666	1666_0	Very happy with all services.	["Very","happy","with","all","services","."]
1666	1666_1	Hotel stuff very good, check in very short waiting time, quality of restaurants was excellent, rooms clean and comfortably	["Hotel","stuff","very","good",",","check","in","very","short","waiting","time",",","quality","of","restaurants","was","excellent",",","rooms","clean","and","comfortably"]
1667	1667_0	unbelievable, fine architecture, shopping,  gondolas, staffFirst class , must book it !	["unbelievable",",","fine","architecture",",","shopping",",","gondolas",",","staffFirst","class",",","must","book","it","!"]
1668	1668_0	Hotel was exceedingly well maintained.	["Hotel","was","exceedingly","well","maintained","."]
1668	1668_1	All employees were very helpful .	["All","employees","were","very","helpful","."]
1668	1668_2	Room was very comfortable and always clean.	["Room","was","very","comfortable","and","always","clean","."]
1668	1668_3	Would definitely stay again on our next visit to Las Vegas.	["Would","definitely","stay","again","on","our","next","visit","to","Las","Vegas","."]
1669	1669_0	Everything was fantastic, only down side was parking was too far from check in	["Everything","was","fantastic",",","only","down","side","was","parking","was","too","far","from","check","in"]
1670	1670_0	Went for mothers day weekend.	["Went","for","mothers","day","weekend","."]
1670	1670_1	Hotel had the posh I expected plus the party my boyfriend wanted.	["Hotel","had","the","posh","I","expected","plus","the","party","my","boyfriend","wanted","."]
1670	1670_2	We had a great time.	["We","had","a","great","time","."]
1670	1670_3	Lots of fantastic food and experiences.	["Lots","of","fantastic","food","and","experiences","."]
1671	1671_0	Great placeOnly suggestion is recommending when knocking on the door refraining from using a key card ring or key chain to knock with.	["Great","placeOnly","suggestion","is","recommending","when","knocking","on","the","door","refraining","from","using","a","key","card","ring","or","key","chain","to","knock","with","."]
1671	1671_1	But using your hand index finger making a natural knocking sound , Instead of a mechanical one.	["But","using","your","hand","index","finger","making","a","natural","knocking","sound",",","Instead","of","a","mechanical","one","."]
1671	1671_2	Its much more pleasaant and especially at 8 in the morning.	["Its","much","more","pleasaant","and","especially","at","8","in","the","morning","."]
1671	1671_3	Besides that it was a very beautifull location and had a great time.	["Besides","that","it","was","a","very","beautifull","location","and","had","a","great","time","."]
1672	1672_0	but the bathroom was dirty with hair in tub and sinks, plumbing was gurgling for 5 straight days, and sheets were soiled and had little balls.	["but","the","bathroom","was","dirty","with","hair","in","tub","and","sinks",",","plumbing","was","gurgling","for","5","straight","days",",","and","sheets","were","soiled","and","had","little","balls","."]
1672	1672_1	we changed rooms and had the same thing!	["we","changed","rooms","and","had","the","same","thing","!"]
1672	1672_2	finally after waiting 3 hours, housekeeper came and we had to point out everywhere to clean.	["finally","after","waiting","3","hours",",","housekeeper","came","and","we","had","to","point","out","everywhere","to","clean","."]
1672	1672_3	I have never had this experience before even in a modest hotel.	["I","have","never","had","this","experience","before","even","in","a","modest","hotel","."]
1672	1672_4	we were not offered any sort of compensation and nor did I ask for it.	["we","were","not","offered","any","sort","of","compensation","and","nor","did","I","ask","for","it","."]
1674	1674_1	Great bang for your buck, don't stay anywhere else!	["Great","bang","for","your","buck",",","do","n't","stay","anywhere","else","!"]
1675	1675_0	Venetian is a great 5 star hotel!	["Venetian","is","a","great","5","star","hotel","!"]
1675	1675_2	Staff was friendly and pleasant.	["Staff","was","friendly","and","pleasant","."]
1675	1675_3	Rooms very comfortable and clean.	["Rooms","very","comfortable","and","clean","."]
1675	1675_4	Can't wait to go back again	["Ca","n't","wait","to","go","back","again"]
1676	1676_0	our stay at the Venetian was terrific.	["our","stay","at","the","Venetian","was","terrific","."]
1676	1676_1	I Called ahead to tell them it was my wife's 40th and they upgraded our room with no charge.	["I","Called","ahead","to","tell","them","it","was","my","wife","'s","40th","and","they","upgraded","our","room","with","no","charge","."]
1676	1676_2	The concierge was very helpful obtaining dinner reservations and also giving recommendations for things to do during our stay.	["The","concierge","was","very","helpful","obtaining","dinner","reservations","and","also","giving","recommendations","for","things","to","do","during","our","stay","."]
1676	1676_3	Tao beach was Awesome Thursday!	["Tao","beach","was","Awesome","Thursday","!"]
1677	1677_0	The hotel is beautiful and well kept.	["The","hotel","is","beautiful","and","well","kept","."]
1677	1677_1	The only issue we had was finding our way around.	["The","only","issue","we","had","was","finding","our","way","around","."]
1677	1677_2	The hotel is now connected to the resort next door and it is VERY easy to get lost.	["The","hotel","is","now","connected","to","the","resort","next","door","and","it","is","VERY","easy","to","get","lost","."]
1677	1677_3	You take one elevator after check-in to another floor where you walk quite a bit to take another elevator to your room.	["You","take","one","elevator","after","check","-","in","to","another","floor","where","you","walk","quite","a","bit","to","take","another","elevator","to","your","room","."]
1677	1677_4	After making it to your room floor, you could walk another 2 or 3 minutes to get to your room, depending on where it is.	["After","making","it","to","your","room","floor",",","you","could","walk","another","2","or","3","minutes","to","get","to","your","room",",","depending","on","where","it","is","."]
1677	1677_5	But even with the confusion which dissipates after about 3 days, it is an ideal place to stay.	["But","even","with","the","confusion","which","dissipates","after","about","3","days",",","it","is","an","ideal","place","to","stay","."]
1678	1678_0	Conviently Located to shops, restaurants & entertainment!	["Conviently","Located","to","shops",",","restaurants","&","entertainment","!"]
1679	1679_0	It's a beautiful place, good, not great service, centrally located, a little difficult to navigate, but they all are in Vegas.	["It","'s","a","beautiful","place",",","good",",","not","great","service",",","centrally","located",",","a","little","difficult","to","navigate",",","but","they","all","are","in","Vegas","."]
1679	1679_1	Check in was a little abrupt and robotic.	["Check","in","was","a","little","abrupt","and","robotic","."]
1679	1679_2	Concierge nice but lacked attention to detail.	["Concierge","nice","but","lacked","attention","to","detail","."]
1680	1680_0	Stayed here with my man and the rooms were amazing very spacious and decor was up to date.	["Stayed","here","with","my","man","and","the","rooms","were","amazing","very","spacious","and","decor","was","up","to","date","."]
1680	1680_1	Everyone I know who goes to Vegas highly recommends to stay here and I agree.	["Everyone","I","know","who","goes","to","Vegas","highly","recommends","to","stay","here","and","I","agree","."]
1681	1681_0	Great location, lots to do, rooms are spacious and upscale.	["Great","location",",","lots","to","do",",","rooms","are","spacious","and","upscale","."]
1681	1681_1	Staff was great-had a minor problem with the sink drain and the maintenance guy arrived in 5 minutes and gone in 2 minutes.	["Staff","was","great","-","had","a","minor","problem","with","the","sink","drain","and","the","maintenance","guy","arrived","in","5","minutes","and","gone","in","2","minutes","."]
1682	1682_0	The suite was huge, and very nicely put together.	["The","suite","was","huge",",","and","very","nicely","put","together","."]
1682	1682_1	The beds were comfy, and the staff was extremely helpful with regards to check-out time.	["The","beds","were","comfy",",","and","the","staff","was","extremely","helpful","with","regards","to","check","-","out","time","."]
1683	1683_0	Loved the ambience and the hotel itself.	["Loved","the","ambience","and","the","hotel","itself","."]
1685	1685_0	Venetian is a great place to stay, fantastic hotel, great rooms, and close to the things that we wanted to do.	["Venetian","is","a","great","place","to","stay",",","fantastic","hotel",",","great","rooms",",","and","close","to","the","things","that","we","wanted","to","do","."]
1685	1685_1	Food in all the restaurants was excellent.	["Food","in","all","the","restaurants","was","excellent","."]
1686	1686_0	Had a fabulous time at the Venetian!	["Had","a","fabulous","time","at","the","Venetian","!"]
1686	1686_1	It is a beautiful hotel with all the amenities.	["It","is","a","beautiful","hotel","with","all","the","amenities","."]
1686	1686_2	Would absolutely stay here again.	["Would","absolutely","stay","here","again","."]
1687	1687_1	We will go back to the Venetian at the very first opportunity.	["We","will","go","back","to","the","Venetian","at","the","very","first","opportunity","."]
1688	1688_0	My family and I were celebrating a Surprise 60th Birthday for my father & I shared that with the front desk.	["My","family","and","I","were","celebrating","a","Surprise","60th","Birthday","for","my","father","&","I","shared","that","with","the","front","desk","."]
1688	1688_1	It was a very exciting trip for my family as my father has not been to Vegas in years!	["It","was","a","very","exciting","trip","for","my","family","as","my","father","has","not","been","to","Vegas","in","years","!"]
1688	1688_2	I wish the Hotel would have offered some suggestions for the dining or done something small or sweet to make the experience more memorable.	["I","wish","the","Hotel","would","have","offered","some","suggestions","for","the","dining","or","done","something","small","or","sweet","to","make","the","experience","more","memorable","."]
1688	1688_3	I live in New York and travel a lot for work and have had various other Hotels that don't charge nearly as much for our stay and treat their guest with a lot more enthusiasm, more personable, and accommodating.	["I","live","in","New","York","and","travel","a","lot","for","work","and","have","had","various","other","Hotels","that","do","n't","charge","nearly","as","much","for","our","stay","and","treat","their","guest","with","a","lot","more","enthusiasm",",","more","personable",",","and","accommodating","."]
1688	1688_4	When there is so much competition in Vegas with Hotels I would expect an Outstanding experience that would make me want to come back to only your Hotel.	["When","there","is","so","much","competition","in","Vegas","with","Hotels","I","would","expect","an","Outstanding","experience","that","would","make","me","want","to","come","back","to","only","your","Hotel","."]
1689	1689_0	The location of the hotel is good, food at TAO is perfect .	["The","location","of","the","hotel","is","good",",","food","at","TAO","is","perfect","."]
1689	1689_2	The shops at the Venetian is really Good one side that i didnt not expect is the room and bed not so comfortable .	["The","shops","at","the","Venetian","is","really","Good","one","side","that","i","didnt","not","expect","is","the","room","and","bed","not","so","comfortable","."]
1689	1689_4	Overall it is a great Hotel though .	["Overall","it","is","a","great","Hotel","though","."]
1690	1690_0	very pleasant very close to all shops convinient excellent	["very","pleasant","very","close","to","all","shops","convinient","excellent"]
1691	1691_0	Great hotel, great location and staff.	["Great","hotel",",","great","location","and","staff","."]
1691	1691_1	We left behind a one of our shopping bags at the room, we immediately called lost and found from the airport but they still have not been able to locate our missing bag with our shopping.	["We","left","behind","a","one","of","our","shopping","bags","at","the","room",",","we","immediately","called","lost","and","found","from","the","airport","but","they","still","have","not","been","able","to","locate","our","missing","bag","with","our","shopping","."]
1692	1692_0	Lovely suite and hotel facilities at the Venetian.	["Lovely","suite","and","hotel","facilities","at","the","Venetian","."]
1692	1692_1	Enjoyed the Rock of Ages show, the many wonderful restaurants, bars and shopping.	["Enjoyed","the","Rock","of","Ages","show",",","the","many","wonderful","restaurants",",","bars","and","shopping","."]
1692	1692_2	Near the Mob museum and Stratesphere - both must do's.	["Near","the","Mob","museum","and","Stratesphere","-","both","must","do","'s","."]
1692	1692_4	Would love to attend a conference at the Venetian.	["Would","love","to","attend","a","conference","at","the","Venetian","."]
1693	1693_0	Very pleasant to eyes and beautiful decor.	["Very","pleasant","to","eyes","and","beautiful","decor","."]
1693	1693_1	I would say the best hotel in Vegas	["I","would","say","the","best","hotel","in","Vegas"]
1694	1694_0	The Venetian is a beautiful luxury hotel/casino right in the middle of the strip with easy access to all the high-end shopping you would want.	["The","Venetian","is","a","beautiful","luxury","hotel","/","casino","right","in","the","middle","of","the","strip","with","easy","access","to","all","the","high","-","end","shopping","you","would","want","."]
1694	1694_1	We checked in and at 11:00 AM, were helped immediately, and did not have to wait for a room.	["We","checked","in","and","at","11:00","AM",",","were","helped","immediately",",","and","did","not","have","to","wait","for","a","room","."]
1694	1694_2	We requested a non-smoking room, but our suite had clearly been smoked in.	["We","requested","a","non","-","smoking","room",",","but","our","suite","had","clearly","been","smoked","in","."]
1694	1694_3	We were assisted by a housekeeping manager and the hotel gave us a new suite on a higher floor with a better view of the strip.	["We","were","assisted","by","a","housekeeping","manager","and","the","hotel","gave","us","a","new","suite","on","a","higher","floor","with","a","better","view","of","the","strip","."]
1694	1694_4	Every staff member, from the ladies and gentlemen who open your car door upon arrival, the front desk people, the bell hops, to the housekeeping staff are friendly, welcoming and helpful.	["Every","staff","member",",","from","the","ladies","and","gentlemen","who","open","your","car","door","upon","arrival",",","the","front","desk","people",",","the","bell","hops",",","to","the","housekeeping","staff","are","friendly",",","welcoming","and","helpful","."]
1694	1694_5	There is a nice level of security, and each entrance to the guest suite elevators is manned by a guard who checks room keys.	["There","is","a","nice","level","of","security",",","and","each","entrance","to","the","guest","suite","elevators","is","manned","by","a","guard","who","checks","room","keys","."]
1694	1694_6	Also, the security people at the main entrances do not allow people in who are shirtless or shoeless, etc. Prevents that ""Jersey Shore"" atmosphere.	["Also",",","the","security","people","at","the","main","entrances","do","not","allow","people","in","who","are","shirtless","or","shoeless",",","etc.","Prevents","that","''","``","Jersey","Shore","''","''","atmosphere","."]
1694	1694_7	The suite was one of the best we have ever stayed in, and we have stayed in a lot of high-end hotels.	["The","suite","was","one","of","the","best","we","have","ever","stayed","in",",","and","we","have","stayed","in","a","lot","of","high","-","end","hotels","."]
1694	1694_8	Every convenience was provided.	["Every","convenience","was","provided","."]
1694	1694_9	The bed was fantastic, there was a large closet, the living room had a comfortable sectional sofa and automatic opener on the shades and draperies, the bathroom was all marble with double sinks, a separate tub and shower, and an enclosed toilet room.	["The","bed","was","fantastic",",","there","was","a","large","closet",",","the","living","room","had","a","comfortable","sectional","sofa","and","automatic","opener","on","the","shades","and","draperies",",","the","bathroom","was","all","marble","with","double","sinks",",","a","separate","tub","and","shower",",","and","an","enclosed","toilet","room","."]
1694	1694_10	TV in every room (3).	["TV","in","every","room","(","3",")","."]
1694	1694_11	Could not hear guests in other rooms or hallways.	["Could","not","hear","guests","in","other","rooms","or","hallways","."]
1694	1694_13	Huge hotel, but plenty of elevators, never waited more than 30 seconds for up or down.	["Huge","hotel",",","but","plenty","of","elevators",",","never","waited","more","than","30","seconds","for","up","or","down","."]
1695	1695_0	All of the staff was very friendly.	["All","of","the","staff","was","very","friendly","."]
1695	1695_1	Room service was quick and enjoyable.	["Room","service","was","quick","and","enjoyable","."]
1695	1695_2	The food was great.	["The","food","was","great","."]
1696	1696_0	Strengths: large, quiet, comfortable, beautiful designWeakness: need to pay extra for a better view and hot water kettle; the  lights in the room are quite dark; there is no fan in the washroom	["Strengths",":","large",",","quiet",",","comfortable",",","beautiful","designWeakness",":","need","to","pay","extra","for","a","better","view","and","hot","water","kettle",";","the","lights","in","the","room","are","quite","dark",";","there","is","no","fan","in","the","washroom"]
1697	1697_0	I will highly recommend this hotel any time - we had an amazing stay and will come back to the Venetian on our next visit.	["I","will","highly","recommend","this","hotel","any","time","-","we","had","an","amazing","stay","and","will","come","back","to","the","Venetian","on","our","next","visit","."]
1697	1697_1	We arrived at noon, 3 hours prior to check in.	["We","arrived","at","noon",",","3","hours","prior","to","check","in","."]
1697	1697_2	They had a room ready, and didn't even question it, checked us right in.	["They","had","a","room","ready",",","and","did","n't","even","question","it",",","checked","us","right","in","."]
1697	1697_3	They also waived the $20 a day fee for us (not sure why, but ok!	["They","also","waived","the","20","a","day","fee","for","us","(","not","sure","why",",","but","ok","!"]
1697	1697_4	# which saved us $80!	["#","which","saved","us","80","!"]
1697	1697_5	We were advised that anything we touched in the mini fridge would be charged immidiately.	["We","were","advised","that","anything","we","touched","in","the","mini","fridge","would","be","charged","immidiately","."]
1697	1697_6	One evening my boyfriend was putting some extra beers we had IN to the fridge and knocked over quite a few items.	["One","evening","my","boyfriend","was","putting","some","extra","beers","we","had","IN","to","the","fridge","and","knocked","over","quite","a","few","items","."]
1697	1697_7	On check out we explained this, and they didn't even question it, took it right off the bill.	["On","check","out","we","explained","this",",","and","they","did","n't","even","question","it",",","took","it","right","off","the","bill","."]
1697	1697_8	We're pretty casual people, and they had an amazing pub with a patio right on the strip, the Rattlecan, and we LOVED it there.	["We","'re","pretty","casual","people",",","and","they","had","an","amazing","pub","with","a","patio","right","on","the","strip",",","the","Rattlecan",",","and","we","LOVED","it","there","."]
1697	1697_9	Amazing service, great food, and WHAT a location to sit down after a long day out and about exploring the strip.	["Amazing","service",",","great","food",",","and","WHAT","a","location","to","sit","down","after","a","long","day","out","and","about","exploring","the","strip","."]
1697	1697_10	The hotel was immaculate, the staff went over and above, the hotel itself is beyond anything I could describe, you have to see it to believe it kinda thing, and it just MADE our trip.	["The","hotel","was","immaculate",",","the","staff","went","over","and","above",",","the","hotel","itself","is","beyond","anything","I","could","describe",",","you","have","to","see","it","to","believe","it","kinda","thing",",","and","it","just","MADE","our","trip","."]
1697	1697_11	If there is one thing I could say, is this would not be a hotel for someone that isn't able to walk around with ease...	["If","there","is","one","thing","I","could","say",",","is","this","would","not","be","a","hotel","for","someone","that","is","n't","able","to","walk","around","with","ease","..."]
1697	1697_13	we were in the Venezia tower #OH, and AMAZING view of the strip too!	["we","were","in","the","Venezia","tower","#OH",",","and","AMAZING","view","of","the","strip","too","!"]
1697	1697_14	) and it was quite a hike, a little confusing to get to as well, as you have to take two elevators.	[")","and","it","was","quite","a","hike",",","a","little","confusing","to","get","to","as","well",",","as","you","have","to","take","two","elevators","."]
1697	1697_15	But compared to the rest of our experience, that was nothing for us!	["But","compared","to","the","rest","of","our","experience",",","that","was","nothing","for","us","!"]
1697	1697_16	I can't wait to go back!	["I","ca","n't","wait","to","go","back","!"]
1697	1697_17	And next time we're bringing our friends!	["And","next","time","we","'re","bringing","our","friends","!"]
1698	1698_0	The hotel was absolutely amazing!	["The","hotel","was","absolutely","amazing","!"]
1698	1698_1	Our hotel room was just the basic room, and it was so spacious and beautiful.	["Our","hotel","room","was","just","the","basic","room",",","and","it","was","so","spacious","and","beautiful","."]
1698	1698_2	The staff were very friendly and there was lots of food options.	["The","staff","were","very","friendly","and","there","was","lots","of","food","options","."]
1698	1698_3	The pool area was so beautiful and clean.	["The","pool","area","was","so","beautiful","and","clean","."]
1698	1698_4	We did not have even 1 complaint about our whole trip	["We","did","not","have","even","1","complaint","about","our","whole","trip"]
1700	1700_0	the hotel is well placed on the strip with great facilities	["the","hotel","is","well","placed","on","the","strip","with","great","facilities"]
1701	1701_0	This was my first visit to Vegas, so I tried to pack in as many sights and activities as possible.	["This","was","my","first","visit","to","Vegas",",","so","I","tried","to","pack","in","as","many","sights","and","activities","as","possible","."]
1701	1701_1	After extensive exploration I was really happy that we stayed at the Venetian.	["After","extensive","exploration","I","was","really","happy","that","we","stayed","at","the","Venetian","."]
1701	1701_2	It's definitely one of the top two or three nicest hotels on the Strip.	["It","'s","definitely","one","of","the","top","two","or","three","nicest","hotels","on","the","Strip","."]
1701	1701_3	The room felt luxurious and the shops and restaurants along the canals are really pretty.	["The","room","felt","luxurious","and","the","shops","and","restaurants","along","the","canals","are","really","pretty","."]
1701	1701_4	I thought it was more charming than the similar village setup in Paris, Las Vegas.	["I","thought","it","was","more","charming","than","the","similar","village","setup","in","Paris",",","Las","Vegas","."]
1701	1701_5	Less smokey, too.	["Less","smokey",",","too","."]
1701	1701_6	Free wifi in the room was a nice touch, but I wish there had been a coffee maker, too.	["Free","wifi","in","the","room","was","a","nice","touch",",","but","I","wish","there","had","been","a","coffee","maker",",","too","."]
1701	1701_7	We found the BEST breakfast buffet at Cafe Lux inside the Venetian - only $18 and everything was done to perfection.	["We","found","the","BEST","breakfast","buffet","at","Cafe","Lux","inside","the","Venetian","-","only","18","and","everything","was","done","to","perfection","."]
1701	1701_8	Staff were very helpful and the attention to detail is top notch.	["Staff","were","very","helpful","and","the","attention","to","detail","is","top","notch","."]
1702	1702_0	Excellent place to go.	["Excellent","place","to","go","."]
1702	1702_1	It is one of the prettiest hotels in Las Vegas.	["It","is","one","of","the","prettiest","hotels","in","Las","Vegas","."]
1703	1703_0	The Venetian is a wonderfully appointed resort with great attention to detail.	["The","Venetian","is","a","wonderfully","appointed","resort","with","great","attention","to","detail","."]
1703	1703_1	The hotel is essentially a destination unto itself.	["The","hotel","is","essentially","a","destination","unto","itself","."]
1703	1703_2	Rooms are spacious and elegant.	["Rooms","are","spacious","and","elegant","."]
1703	1703_3	I have been to the resort 8 times now and always enjoy my stay.	["I","have","been","to","the","resort","8","times","now","and","always","enjoy","my","stay","."]
1703	1703_4	The pool areas are outstanding with attention to cleanliness and well designed.	["The","pool","areas","are","outstanding","with","attention","to","cleanliness","and","well","designed","."]
1703	1703_5	The pool is one of the few open all year round in Vegas.	["The","pool","is","one","of","the","few","open","all","year","round","in","Vegas","."]
1703	1703_6	The shopping is plentiful and the casino is better ventilated than most (less smoke, lots of air freshener).	["The","shopping","is","plentiful","and","the","casino","is","better","ventilated","than","most","(","less","smoke",",","lots","of","air","freshener",")","."]
1703	1703_7	The hotel is attached to the Palazzo (same company) which has a convenient Avis rent a car desk, if you choose to leave the strip for the day.	["The","hotel","is","attached","to","the","Palazzo","(","same","company",")","which","has","a","convenient","Avis","rent","a","car","desk",",","if","you","choose","to","leave","the","strip","for","the","day","."]
1703	1703_8	The staff are always friendly and professional.	["The","staff","are","always","friendly","and","professional","."]
1705	1705_1	Room was far from ice machines nut that's it!	["Room","was","far","from","ice","machines","nut","that","'s","it","!"]
1705	1705_4	Staff polite and helpful!	["Staff","polite","and","helpful","!"]
1706	1706_0	Perfect location, amazing suite, totally romantic!	["Perfect","location",",","amazing","suite",",","totally","romantic","!"]
1706	1706_1	It was a blast, and I can't wait to do it again.	["It","was","a","blast",",","and","I","ca","n't","wait","to","do","it","again","."]
1708	1708_0	The Venetian offered all the draws of Vegas-- casinos, shopping, food, parties-- without being overwhelming or tacky.	["The","Venetian","offered","all","the","draws","of","Vegas","--","casinos",",","shopping",",","food",",","parties","--","without","being","overwhelming","or","tacky","."]
1708	1708_1	A good choice for a romantic stay or if you need a bit of serenity on the strip.	["A","good","choice","for","a","romantic","stay","or","if","you","need","a","bit","of","serenity","on","the","strip","."]
1709	1709_0	Second time staying at the Venetian.	["Second","time","staying","at","the","Venetian","."]
1709	1709_1	Husband and I came for a long weekend a couple months ago.	["Husband","and","I","came","for","a","long","weekend","a","couple","months","ago","."]
1709	1709_2	Decided to come again (during Thanksgiving week), this time with in-laws accompanying.	["Decided","to","come","again","(","during","Thanksgiving","week",")",",","this","time","with","in","-","laws","accompanying","."]
1709	1709_3	We all had a relaxing and enjoyable vacation.	["We","all","had","a","relaxing","and","enjoyable","vacation","."]
1710	1710_0	Great hotel for a holidayVery hard working staff, constantly keeping all public areas very clean	["Great","hotel","for","a","holidayVery","hard","working","staff",",","constantly","keeping","all","public","areas","very","clean"]
1711	1711_0	Very good service,make me feel at home.	["Very","good","service",",","make","me","feel","at","home","."]
1712	1712_0	First time in vegas and we were blown away by the service and room at the Venetian.	["First","time","in","vegas","and","we","were","blown","away","by","the","service","and","room","at","the","Venetian","."]
1712	1712_1	The best shower ever!	["The","best","shower","ever","!"]
1712	1712_2	The in-suite dining is expensive but well worth it.	["The","in","-","suite","dining","is","expensive","but","well","worth","it","."]
1712	1712_3	We ordered before we knew there was a food court downstairs, but still got plenty for the money.	["We","ordered","before","we","knew","there","was","a","food","court","downstairs",",","but","still","got","plenty","for","the","money","."]
1713	1713_0	Beautiful Hotel, big nice comfortable rooms.	["Beautiful","Hotel",",","big","nice","comfortable","rooms","."]
1713	1713_1	Many restaurants to choose from,also got several fast food places as well.	["Many","restaurants","to","choose","from",",","also","got","several","fast","food","places","as","well","."]
1713	1713_2	Food prices from $ to $$$$.	["Food","prices","from","to","."]
1713	1713_3	They have four pools.	["They","have","four","pools","."]
1713	1713_4	They only had 3 open while we where there,one was close for cleaning.	["They","only","had","3","open","while","we","where","there",",","one","was","close","for","cleaning","."]
1713	1713_5	This Hotel right in the heart of the Strip.	["This","Hotel","right","in","the","heart","of","the","Strip","."]
